year,mmsi,best_label,best_flag,best_length,best_tonnage,best_engine_power,lat_bin_center,lon_bin_center,fishing_hours
2014,338134794,trawlers,USA,16.245276467,33.3270707245,158.053983385,38.15,-123.35000000000001,1.8966666666666669
2014,338134794,trawlers,USA,16.245276467,33.3270707245,158.053983385,38.25,-123.35000000000001,12.684444444444445
2014,338134794,trawlers,USA,16.245276467,33.3270707245,158.053983385,38.849999999999994,-123.75,0.6530555555555555
2014,338134794,trawlers,USA,16.245276467,33.3270707245,158.053983385,38.15,-123.25,0.94138888888888894
2014,338134794,trawlers,USA,16.245276467,33.3270707245,158.053983385,37.949999999999996,-123.25,1.9783333333333333
2014,338134794,trawlers,USA,16.245276467,33.3270707245,158.053983385,38.25,-123.15,0.65763888888888888
2014,338134794,trawlers,USA,16.245276467,33.3270707245,158.053983385,38.05,-123.35000000000001,14.68236111111111
2014,338134794,trawlers,USA,16.245276467,33.3270707245,158.053983385,38.349999999999994,-123.05,6.74125
2014,338134794,trawlers,USA,16.245276467,33.3270707245,158.053983385,38.05,-123.45,4.6820833333333338
2014,338134794,trawlers,USA,16.245276467,33.3270707245,158.053983385,38.25,-123.25,13.020277777777775
2014,338134794,trawlers,USA,16.245276467,33.3270707245,158.053983385,37.949999999999996,-123.35000000000001,16.85361111111111
2014,338134794,trawlers,USA,16.245276467,33.3270707245,158.053983385,38.349999999999994,-123.35000000000001,3.8380555555555551
2014,338134794,trawlers,USA,16.245276467,33.3270707245,158.053983385,38.349999999999994,-123.25,1.8115277777777774
2014,367153430,trawlers,USA,28.68902439,322.051210886,485.260327627,41.949999999999996,-125.35000000000001,1.0495833333333333
2014,367153430,trawlers,USA,28.68902439,322.051210886,485.260327627,41.75,-124.55,4.4291666666666671
2014,367153430,trawlers,USA,28.68902439,322.051210886,485.260327627,41.849999999999994,-124.55,1.0550000000000002
2014,367153430,trawlers,USA,28.68902439,322.051210886,485.260327627,41.949999999999996,-125.15,2.5041666666666669
2014,367153430,trawlers,USA,28.68902439,322.051210886,485.260327627,41.949999999999996,-124.55,0.20152777777777778
2014,367153430,trawlers,USA,28.68902439,322.051210886,485.260327627,41.949999999999996,-125.25,4.9751388888888881
2014,367153430,trawlers,USA,28.68902439,322.051210886,485.260327627,41.949999999999996,-124.65,0.69236111111111109
2014,367153430,trawlers,USA,28.68902439,322.051210886,485.260327627,41.75,-124.45,0.4720833333333333
2014,367418650,trawlers,USA,16.9186713444,123.0,334.627899592,41.05,-124.15,12.68888888888889
2014,367418650,trawlers,USA,16.9186713444,123.0,334.627899592,41.349999999999994,-124.15,24.151944444444446
2014,367418650,trawlers,USA,16.9186713444,123.0,334.627899592,40.349999999999994,-124.45,1.7315277777777778
2014,367418650,trawlers,USA,16.9186713444,123.0,334.627899592,41.75,-124.25,7.2083333333333321
2014,367418650,trawlers,USA,16.9186713444,123.0,334.627899592,41.75,-124.15,0.31583333333333335
2014,367418650,trawlers,USA,16.9186713444,123.0,334.627899592,40.349999999999994,-124.35000000000001,12.795555555555556
2014,367418650,trawlers,USA,16.9186713444,123.0,334.627899592,41.849999999999994,-124.35000000000001,9.2084722222222251
2014,367418650,trawlers,USA,16.9186713444,123.0,334.627899592,41.849999999999994,-124.45,5.6255555555555556
2014,367418650,trawlers,USA,16.9186713444,123.0,334.627899592,41.65,-124.15,4.7269444444444444
2014,303636000,trawlers,USA,30.0,453.798405749,835.957562117,41.75,-124.45,0.52722222222222226
2014,303636000,trawlers,USA,30.0,453.798405749,835.957562117,41.949999999999996,-124.55,1.4495833333333334
2014,303636000,trawlers,USA,30.0,453.798405749,835.957562117,41.75,-124.55,0.65402777777777776
2014,303636000,trawlers,USA,30.0,453.798405749,835.957562117,41.849999999999994,-124.55,3.0851388888888889
2014,367460130,trawlers,USA,14.9879481833,29.0,164.294783445,37.65,-123.05,2.3884722222222226
2014,367460130,trawlers,USA,14.9879481833,29.0,164.294783445,37.449999999999996,-122.65,6.8372222222222216
2014,367460130,trawlers,USA,14.9879481833,29.0,164.294783445,37.05,-122.45,3.4158333333333335
2014,367460130,trawlers,USA,14.9879481833,29.0,164.294783445,37.449999999999996,-122.75,2.5281944444444444
2014,367460130,trawlers,USA,14.9879481833,29.0,164.294783445,37.55,-122.65,6.4733333333333327
2014,367460130,trawlers,USA,14.9879481833,29.0,164.294783445,37.349999999999994,-122.75,3.3231944444444443
2014,367460130,trawlers,USA,14.9879481833,29.0,164.294783445,37.449999999999996,-122.45,5.3672222222222228
2014,367460130,trawlers,USA,14.9879481833,29.0,164.294783445,37.15,-122.45,1.6943055555555557
2014,367460130,trawlers,USA,14.9879481833,29.0,164.294783445,38.449999999999996,-123.35000000000001,0.11319444444444446
2014,367460130,trawlers,USA,14.9879481833,29.0,164.294783445,36.849999999999994,-122.15,2.0286111111111111
2014,367460130,trawlers,USA,14.9879481833,29.0,164.294783445,38.05,-123.05,12.395833333333336
2014,367460130,trawlers,USA,14.9879481833,29.0,164.294783445,37.949999999999996,-122.95,3.483888888888889
2014,367460130,trawlers,USA,14.9879481833,29.0,164.294783445,37.349999999999994,-122.55,4.1388888888888884
2014,367460130,trawlers,USA,14.9879481833,29.0,164.294783445,38.15,-123.15,1.0905555555555557
2014,367460130,trawlers,USA,14.9879481833,29.0,164.294783445,38.05,-122.85000000000001,8.05763888888889
2014,367460130,trawlers,USA,14.9879481833,29.0,164.294783445,37.25,-122.55,1.8263888888888888
2014,367460130,trawlers,USA,14.9879481833,29.0,164.294783445,37.05,-122.35000000000001,14.103055555555555
